 mode no    eigenvalue   Sum(1/eigenvalue)
           1   8.4989157      0.11766207    
           2   8.4495354      0.23601177    
           3   8.3782234      0.35536882    
           4   8.3438473      0.47521761    
           5   8.3322754      0.59523284    
           6   8.2598009      0.71630114    
           7   8.2063150      0.83815849    
           8   8.1473904      0.96089715    
           9   8.0948734       1.0844321    
          10   8.0187950       1.2091391    
          11   7.9548531       1.3348485    
          12   7.9405022       1.4607852    
          13   7.9184499       1.5870725    
          14   7.9005351       1.7136462    
          15   7.8869557       1.8404378    
          16   7.8805189       1.9673330    
          17   7.8605347       2.0945508    
          18   7.8395314       2.2221096    
          19   7.8224497       2.3499467    
          20   7.7993965       2.4781618    
          21   7.7730489       2.6068115    
          22   7.7564731       2.7357361    
          23   7.7475171       2.8648098    
          24   7.7250490       2.9942589    
          25   7.7085662       3.1239846    
          26   7.6948886       3.2539411    
          27   7.6817031       3.3841205    
          28   7.6660171       3.5145662    
          29   7.6458406       3.6453562    
          30   7.6415205       3.7762201    
          31   7.6248212       3.9073708    
          32   7.5983443       4.0389786    
          33   7.5760984       4.1709728    
          34   7.5588717       4.3032675    
          35   7.5536513       4.4356537    
          36   7.5334878       4.5683942    
          37   7.5164247       4.7014360    
          38   7.5024252       4.8347263    
          39   7.4759479       4.9684887    
          40   7.4601159       5.1025348    
          41   7.4328804       5.2370720    
          42   7.4125891       5.3719778    
          43   7.4009004       5.5070963    
          44   7.3944740       5.6423326    
          45   7.3686152       5.7780433    
          46   7.3608689       5.9138966    
          47   7.3419285       6.0501003    
          48   7.3369050       6.1863976    
          49   7.3072815       6.3232474    
          50   7.3009205       6.4602165    
          51   7.2889695       6.5974102    
          52   7.2769351       6.7348309    
          53   7.2663002       6.8724523    
          54   7.2539430       7.0103083    
          55   7.2423925       7.1483841    
          56   7.2307434       7.2866826    
          57   7.2276692       7.4250398    
          58   7.2008944       7.5639114    
          59   7.1973715       7.7028508    
          60   7.1835151       7.8420587    
          61   7.1716948       7.9814959    
          62   7.1662974       8.1210375    
          63   7.1573691       8.2607536    
          64   7.1456661       8.4006987    
          65   7.1266398       8.5410175    
          66   7.1074481       8.6817150    
          67   7.1025600       8.8225098    
          68   7.0990210       8.9633741    
          69   7.0924821       9.1043682    
          70   7.0742350       9.2457266    
          71   7.0673685       9.3872223    
          72   7.0583868       9.5288973    
          73   7.0561466       9.6706181    
          74   7.0408998       9.8126450    
          75   7.0373654       9.9547434    
          76   7.0316467       10.096957    
          77   7.0107021       10.239596    
          78   7.0073004       10.382305    
          79   7.0039515       10.525082    
          80   6.9864163       10.668217    
          81   6.9729815       10.811627    
          82   6.9580326       10.955346    
          83   6.9528661       11.099172    
          84   6.9404564       11.243255    
          85   6.9339247       11.387473    
          86   6.9247994       11.531881    
          87   6.9147196       11.676500    
          88   6.9049001       11.821325    
          89   6.8966036       11.966324    
          90   6.8840690       12.111587    
          91   6.8765807       12.257008    
          92   6.8667803       12.402637    
          93   6.8596015       12.548418    
          94   6.8552656       12.694291    
          95   6.8478513       12.840322    
          96   6.8412418       12.986495    
          97   6.8246965       13.133021    
          98   6.8136725       13.279785    
          99   6.8095202       13.426639    
         100   6.7988129       13.573723    
         101   6.7817707       13.721177    
         102   6.7672701       13.868947    
         103   6.7591486       14.016894    
         104   6.7506142       14.165029    
         105   6.7442174       14.313304    
         106   6.7340727       14.461802    
         107   6.7260971       14.610477    
         108   6.7197523       14.759293    
         109   6.7110391       14.908300    
         110   6.6980672       15.057597    
         111   6.6786623       15.207328    
         112   6.6650138       15.357365    
         113   6.6584201       15.507550    
         114   6.6483622       15.657963    
         115   6.6463799       15.808420    
         116   6.6259928       15.959341    
         117   6.6245794       16.110294    
         118   6.6215549       16.261316    
         119   6.6151633       16.412483    
         120   6.6058321       16.563864    
         121   6.6040921       16.715284    
         122   6.5947199       16.866920    
         123   6.5679955       17.019175    
         124   6.5628152       17.171549    
         125   6.5521617       17.324171    
         126   6.5344620       17.477205    
         127   6.5327096       17.630281    
         128   6.5255284       17.783525    
         129   6.5205283       17.936888    
         130   6.5128403       18.090431    
         131   6.5066090       18.244122    
         132   6.4940596       18.398108    
         133   6.4871607       18.552258    
         134   6.4840131       18.706484    
         135   6.4809685       18.860783    
         136   6.4716139       19.015303    
         137   6.4574041       19.170164    
         138   6.4489799       19.325228    
         139   6.4432745       19.480429    
         140   6.4383807       19.635748    
         141   6.4322553       19.791214    
         142   6.4272814       19.946800    
         143   6.4164143       20.102650    
